date,12H,T_mean,P0_mean
2017-12-22,1,16.75,628.6166666666667
2017-12-23,0,23.181818181818183,629.1545454545454
2017-12-23,1,17.88888888888889,628.4333333333334
2017-12-24,0,23.583333333333332,628.9416666666667
2017-12-24,1,16.90909090909091,627.6272727272727
2017-12-25,0,23.416666666666668,629.7833333333333
2017-12-25,1,18.818181818181817,628.3545454545454
2017-12-26,0,23.5,629.5083333333333
2017-12-26,1,18.272727272727273,628.8636363636365
2017-12-27,0,24.125,629.4125
2017-12-27,1,17.571428571428573,627.8428571428573
2017-12-28,0,24.666666666666668,629.3444444444444
2017-12-28,1,18.0,628.0666666666667
2017-12-29,0,24.09090909090909,630.0181818181819
2017-12-29,1,20.333333333333332,629.3666666666667
2017-12-30,0,23.666666666666668,629.675
2017-12-30,1,17.583333333333332,628.2333333333335
